epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,485.748,0.68589,2.91968,0.92482,0.76867,0.07341,0.12486,0.10658,0.99402,4.14389,1.20622,3.9936e-05,3.9936e-05,3.9936e-05
42,497.48,0.64768,2.77629,0.90087,0.83865,0.07061,0.1299,0.10938,0.98236,4.07628,1.19342,3.61344e-05,3.61344e-05,3.61344e-05
43,509.134,0.58717,2.71248,0.91572,0.80429,0.07307,0.13176,0.11066,0.9954,4.04151,1.19656,3.23328e-05,3.23328e-05,3.23328e-05
44,520.587,0.66054,2.7733,0.94783,0.82685,0.09393,0.12982,0.1109,1.01803,4.02373,1.21215,2.85312e-05,2.85312e-05,2.85312e-05
45,532.088,0.56357,2.78056,0.90087,0.82685,0.09393,0.12982,0.1109,1.01803,4.02373,1.21215,2.47296e-05,2.47296e-05,2.47296e-05
46,543.595,0.6458,2.76741,0.9247,0.78161,0.09281,0.1256,0.10686,1.02476,4.00095,1.2196,2.0928e-05,2.0928e-05,2.0928e-05
47,555.244,0.54531,2.6163,0.8815,0.7758,0.0932,0.12647,0.10761,1.02827,3.97425,1.22066,1.71264e-05,1.71264e-05,1.71264e-05
48,566.774,0.60465,2.84648,0.90397,0.77429,0.0936,0.12545,0.10747,1.03586,3.93926,1.23625,1.33248e-05,1.33248e-05,1.33248e-05
49,578.35,0.62659,2.68842,0.92978,0.77429,0.0936,0.12545,0.10747,1.03586,3.93926,1.23625,9.5232e-06,9.5232e-06,9.5232e-06
50,589.988,0.59639,2.79918,0.87811,0.80935,0.1021,0.12727,0.1107,1.03569,3.9096,1.24755,5.7216e-06,5.7216e-06,5.7216e-06
